row_index,provenance,detrended,trendDetectedForDetrend,status,problem_count,warning_count,problems,warnings,raw_path,detrended_path
2978,QLP,False,False,ok,0,0,,,,
2979,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J094758.20-682048.8_TIC_371323867_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ASASSN-V_J094758.20-682048.8_TIC_371323867_TESSCut_detrended.fits
2980,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_SSS_J142450.9-325041_TIC_125874633_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_SSS_J142450.9-325041_TIC_125874633_TESSCut_detrended.fits
2981,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J100510.06-282551.4_TIC_309090308_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ASASSN-V_J100510.06-282551.4_TIC_309090308_TESSCut_detrended.fits
2982,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_V3007_Cyg_TIC_278680106_TESSCut_raw.fits,
2983,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J113607.53-612047.6_TIC_290678916_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ASASSN-V_J113607.53-612047.6_TIC_290678916_TESSCut_detrended.fits
2984,QLP,False,False,ok,0,0,,,,
2985,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J214439.02+323418.9_TIC_287360672_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ASASSN-V_J214439.02+323418.9_TIC_287360672_TESSCut_detrended.fits
2986,QLP,False,False,ok,0,0,,,,
2987,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_V0658_Aur_TIC_260375917_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_V0658_Aur_TIC_260375917_TESSCut_detrended.fits
2988,QLP,False,False,ok,0,0,,,,
2989,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J172853.38-735602.6_TIC_311799557_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_ASASSN-V_J172853.38-735602.6_TIC_311799557_TESSCut_detrended.fits
2990,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J003424.41+435035.8_TIC_191182980_TESSCut_raw.fits,
2991,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ZTF_J185220.40+103330.5_TIC_95022859_TESSCut_raw.fits,
2992,QLP,False,False,ok,0,0,,,,
2993,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_ASASSN-V_J215030.93+501852.4_TIC_384277757_TESSCut_raw.fits,
